2026-08-28 23:08:28,317 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:08:28,393 | __main__ | INFO | Copied Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:08:37,710 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:08:37,715 | __main__ | INFO | Copied Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:09:39,589 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:09:39,592 | __main__ | INFO | Copied Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:09:41,722 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:09:41,725 | __main__ | INFO | Copied Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:14:50,510 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:15:05,275 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:15:05,280 | __main__ | INFO | Copied Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:21:33,147 | check_status | INFO | File Passed Status Check...
2026-08-28 23:21:51,165 | check_status | INFO | File Passed Status Check...
2026-08-28 23:21:51,271 | __main__ | INFO | Moved File :C:\Users\SAMUEL\Desktop\spam\spam.txt to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:23:02,580 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:23:02,581 | __main__ | INFO | Moved Dir:C:\Users\SAMUEL\Desktop\spam to Destination :C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:23:34,139 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:23:34,141 | __main__ | INFO | Moved Dir:C:\Users\SAMUEL\Desktop\spam to Destination : C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:24:24,188 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:24:24,190 | __main__ | INFO | Moved Dir:C:\Users\SAMUEL\Desktop\spam to Destination : C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:26:24,392 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:26:24,394 | __main__ | INFO | Moved Dir:C:\Users\SAMUEL\Desktop\spam to Destination : C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:41:30,339 | check_status | INFO | Directory Passed Status Check...
2026-08-28 23:41:30,343 | __main__ | INFO | Moved Dir:C:\Users\SAMUEL\Desktop\spam to Destination : C:\Users\SAMUEL\Desktop\marley
2026-08-28 23:44:06,041 | check_status | INFO | Directory Passed Status Check...
